delta,maturity,rebal,tau,alr,clr,nstd,nclip,rws,mean_cost,std_cost,Y_metric
rl,3m,daily,0.0001,0.0001,4e-05,0.005,0.02,1.0,556.9677324635494,62.79012931302449,651.1529264330861
rl,3m,daily,0.0001,0.0001,4e-05,0.005,0.02,50.0,13.517314754925275,3.6339968318351437,18.96831000267799
rl,3m,daily,0.0001,0.0001,4e-05,0.005,0.02,100.0,146.06949314077085,53.84392938444027,226.83538721743125
rl,3m,daily,0.0001,0.0001,4e-05,0.005,0.1,1.0,508.02332374234015,63.14334092316496,602.7383351270876
rl,3m,daily,0.0001,0.0001,4e-05,0.005,0.1,50.0,16.186027041790602,6.644861860825457,26.15331983302879
rl,3m,daily,0.0001,0.0001,4e-05,0.005,0.1,100.0,26.721640999613456,10.242313594618716,42.08511139154153
rl,3m,daily,0.0001,0.0001,4e-05,0.005,0.18,1.0,587.6779380399968,68.28401968027616,690.103967560411
rl,3m,daily,0.0001,0.0001,4e-05,0.005,0.18,50.0,42.87341508172691,31.55002296887323,90.19844953503676
rl,3m,daily,0.0001,0.0001,4e-05,0.005,0.18,100.0,17.63808894528174,6.97532071259652,28.10107001417652
rl,3m,daily,0.0001,0.0001,4e-05,0.025,0.02,1.0,384.62404300464317,132.1091594929682,582.7877822440955
rl,3m,daily,0.0001,0.0001,4e-05,0.025,0.02,50.0,12.896403239649084,4.473206322619763,19.60621272357873
rl,3m,daily,0.0001,0.0001,4e-05,0.025,0.02,100.0,165.06157699431353,107.2492255522559,325.9354153226974
rl,3m,daily,0.0001,0.0001,4e-05,0.025,0.1,1.0,559.7793990009317,68.42080306232755,662.410603594423
rl,3m,daily,0.0001,0.0001,4e-05,0.025,0.1,50.0,14.392310877750782,6.60979014845788,24.3069961004376
rl,3m,daily,0.0001,0.0001,4e-05,0.025,0.1,100.0,51.29526337649278,31.891318143665046,99.13224059199035
rl,3m,daily,0.0001,0.0001,4e-05,0.025,0.18,1.0,585.1164571698648,76.38531404607403,699.6944282389759
rl,3m,daily,0.0001,0.0001,4e-05,0.025,0.18,50.0,21.431853073091983,5.891678006218694,30.269370082420025
rl,3m,daily,0.0001,0.0001,4e-05,0.025,0.18,100.0,19.729017677327107,10.169007932005732,34.982529575335704
rl,3m,daily,0.0001,0.0001,4e-05,0.045,0.02,1.0,569.1608511880812,74.06722639312862,680.2616907777741
rl,3m,daily,0.0001,0.0001,4e-05,0.045,0.02,50.0,12.760550657759584,3.1780513535060413,17.527627688018647
rl,3m,daily,0.0001,0.0001,4e-05,0.045,0.02,100.0,15.248939525888503,5.348793106935331,23.2721291862915
rl,3m,daily,0.0001,0.0001,4e-05,0.045,0.1,1.0,491.69014098964107,51.763683528295594,569.3356662820845
rl,3m,daily,0.0001,0.0001,4e-05,0.045,0.1,50.0,12.335340308183277,4.587242564831175,19.21620415543004
rl,3m,daily,0.0001,0.0001,4e-05,0.045,0.1,100.0,689.0743320315785,91.6353915057177,826.527419290155
rl,3m,daily,0.0001,0.0001,4e-05,0.045,0.18,1.0,523.0456835976078,54.06744584703759,604.1468523681641
rl,3m,daily,0.0001,0.0001,4e-05,0.045,0.18,50.0,11.997849729430925,4.502538796868951,18.751657924734353
rl,3m,daily,0.0001,0.0001,4e-05,0.045,0.18,100.0,16.891821826648854,10.72610612315217,32.98098101137711
rl,3m,daily,0.0001,0.0001,0.00024,0.005,0.02,1.0,23.777267883078483,7.228017319718666,34.619293862656484
rl,3m,daily,0.0001,0.0001,0.00024,0.005,0.02,50.0,17.54368750062439,11.450412912750362,34.71930686974993
rl,3m,daily,0.0001,0.0001,0.00024,0.005,0.02,100.0,29.187327319628128,24.46811272842837,65.88949641227069
rl,3m,daily,0.0001,0.0001,0.00024,0.005,0.1,1.0,17.988675096006908,6.428955841842169,27.63210885877016
rl,3m,daily,0.0001,0.0001,0.00024,0.005,0.1,50.0,16.135027568888358,6.178382654093454,25.40260155002854
rl,3m,daily,0.0001,0.0001,0.00024,0.005,0.1,100.0,14.007841358155186,5.778667777986573,22.675843025135045
rl,3m,daily,0.0001,0.0001,0.00024,0.005,0.18,1.0,26.57221002913502,5.999245356931865,35.57107806453282
rl,3m,daily,0.0001,0.0001,0.00024,0.005,0.18,50.0,15.104015210245022,6.092605727912955,24.242923802114454
rl,3m,daily,0.0001,0.0001,0.00024,0.005,0.18,100.0,13.671421338691616,5.147554470992659,21.392753045180605
rl,3m,daily,0.0001,0.0001,0.00024,0.025,0.02,1.0,161.43013716687565,106.777682399479,321.59666076609415
rl,3m,daily,0.0001,0.0001,0.00024,0.025,0.02,50.0,15.875088464699845,7.197852853819583,26.671867745429218
rl,3m,daily,0.0001,0.0001,0.00024,0.025,0.02,100.0,13.972072307472727,4.275540618788139,20.385383235654935
